,track_id,artists,album_name,track_name,explicit,track_genre,popularity,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
14,4LbWtBkN82ZRhz9jqzgrb3,Chord Overstreet;Deepend,Hold On (Remix),Hold On - Remix,FALSE,acoustic,56,188133,0.755,0.78,2,-6.084,1,0.0327,0.124,2.83E-05,0.121,0.387,120.004,4
15,1KHdq8NK9QxnGjdXb55NiG,Landon Pigg,The Boy Who Never,Falling in Love at a Coffee Shop,FALSE,acoustic,58,244986,0.489,0.561,4,-7.933,1,0.0274,0.2,4.56E-05,0.179,0.238,83.457,3
16,6xKeQgzfjixSUld14qUezm,Andrew Foy;Renee Foy,ily (i love you baby),ily (i love you baby),FALSE,acoustic,56,129750,0.706,0.112,2,-18.098,1,0.0391,0.827,4.03E-06,0.125,0.414,110.154,4
17,4Yo0igmcoNyat1secaH0OD,Andrew Foy;Renee Foy,At My Worst,At My Worst,FALSE,acoustic,54,169728,0.795,0.0841,10,-18.09,0,0.0461,0.742,1.17E-05,0.0853,0.609,91.803,4
18,2qLMf6TuEC3ruGJg4SMMN6,Jason Mraz;Colbie Caillat,We Sing. We Dance. We Steal Things.,Lucky,FALSE,acoustic,68,189613,0.625,0.414,0,-8.7,1,0.0369,0.294,0,0.151,0.669,130.088,4
19,6CgNoAbFJ4Q4Id4EjtbXlC,Boyce Avenue;Bea Miller,"Cover Sessions, Vol. 4",Photograph,FALSE,acoustic,67,260186,0.717,0.32,3,-8.393,1,0.0283,0.83,0,0.107,0.322,107.946,4
20,3S0OXQeoh0w6AY8WQVckRW,Jason Mraz,We Sing. We Dance. We Steal Things.,I'm Yours,FALSE,acoustic,75,242946,0.703,0.444,11,-9.331,1,0.0417,0.559,0,0.0973,0.712,150.96,4
21,210JCw2LbYD4YIs8GiZ9iP,Boyce Avenue;Jennel Garcia,"Cover Sessions, Vol. 3",Demons,FALSE,acoustic,63,174174,0.678,0.351,0,-8.654,1,0.0266,0.747,0,0.355,0.569,90.032,4
22,5TvE3pk05pyFIGdSY9j4DJ,A Great Big World;Christina Aguilera,Is There Anybody Out There? - Track by Track Commentary,Say Something,FALSE,acoustic,70,229400,0.407,0.147,2,-8.822,1,0.0355,0.857,2.89E-06,0.0913,0.0765,141.284,3
23,0BUuuEvNa5T4lMaewyiudB,Jason Mraz,Coffee Moment,93 Million Miles,FALSE,acoustic,0,216386,0.572,0.454,3,-10.286,1,0.0258,0.477,1.37E-05,0.0974,0.515,140.182,4
24,3Hn3LfhrQOaKihdCibJsTs,Jason Mraz,Human - Best Adult Pop Tunes,Unlonely,FALSE,acoustic,0,231266,0.796,0.667,5,-4.831,0,0.0392,0.381,0,0.221,0.754,97.988,4
25,6D33wCKzWtNEgOovgeVJ7r,Jason Mraz,Mellow Adult Pop,Bella Luna,FALSE,acoustic,1,302346,0.755,0.454,9,-9.609,0,0.0352,0.757,0,0.236,0.33,120.06,4
26,5IfCZDRXZrqZSm8AwE44PG,Jason Mraz,Holly Jolly Christmas,Winter Wonderland,FALSE,acoustic,0,131760,0.62,0.309,5,-9.209,1,0.0495,0.788,0,0.146,0.664,145.363,4
27,0dzKBptH2P5j5a0MifBMwM,Jason Mraz,Feeling Good - Adult Pop Favorites,If It Kills Me,FALSE,acoustic,0,273653,0.633,0.429,4,-6.784,0,0.0381,0.0444,0,0.132,0.52,143.793,4
28,5QAMZTM5cmLg3fHX9ZbTZi,Jason Mraz,Christmas Time,Winter Wonderland,FALSE,acoustic,0,131760,0.62,0.309,5,-9.209,1,0.0495,0.788,0,0.146,0.664,145.363,4
29,2qESE1ZeWly7I3YjyTXmXh,Jason Mraz,Perfect Christmas Hits,Winter Wonderland,FALSE,acoustic,0,131760,0.62,0.309,5,-9.209,1,0.0495,0.788,0,0.146,0.664,145.363,4
30,3EQV1ZHtHvq9OnVRYIdbg3,Jason Mraz,Merry Christmas,Winter Wonderland,FALSE,acoustic,0,131760,0.62,0.309,5,-9.209,1,0.0495,0.788,0,0.146,0.664,145.363,4
31,3ax0rfGb7exLtl02LL08U9,Jason Mraz,Christmas Music - Holiday Hits,Winter Wonderland,FALSE,acoustic,0,131760,0.62,0.309,5,-9.209,1,0.0495,0.788,0,0.146,0.664,145.363,4
32,1m5LC29RE52Bxy7hxvpOlL,Chord Overstreet,Christmas Country Songs 2022,All I Want For Christmas Is A Real Good Tan,FALSE,acoustic,0,234186,0.593,0.455,6,-8.192,1,0.0388,0.366,0,0.0914,0.564,202.019,4
33,3H36x7buZdQD4687VmFrwY,Brandi Carlile;Sam Smith,Human - Best Adult Pop Tunes,Party of One,FALSE,acoustic,0,259558,0.296,0.206,0,-11.799,1,0.0412,0.782,0.000225,0.0959,0.202,165.4,4
34,0xbMRcMFqxJq1Wa7tvWPtn,Brandi Carlile;Sam Smith,Feeling Good - Adult Pop Favorites,Party of One,FALSE,acoustic,0,259558,0.296,0.206,0,-11.799,1,0.0412,0.782,0.000225,0.0959,0.202,165.4,4
35,6h061f44HZPj1OXO2nA45d,Brandi Carlile;Sam Smith,Mellow Bars R'n'B,Party of One,FALSE,acoustic,0,259558,0.296,0.206,0,-11.799,1,0.0412,0.782,0.000225,0.0959,0.202,165.4,4
36,62EwQLDw0dprDzuLwQ0sH1,KT Tunstall,Chill Christmas Dinner,Lonely This Christmas,FALSE,acoustic,0,257493,0.409,0.153,6,-10.74,0,0.0306,0.939,2.56E-05,0.108,0.18,85.262,4
37,3lvo0I8c2qBJDLZWqExDgC,Brandi Carlile,rainy day indie,Throwing Good After Bad,FALSE,acoustic,0,247791,0.501,0.0952,2,-12.931,1,0.054,0.963,1.58E-05,0.0915,0.316,138.016,4
38,1ae8XfBQ3fDEvmBjFaemGV,Brandi Carlile,Coffee Moment,This Time Tomorrow,FALSE,acoustic,0,206267,0.606,0.326,10,-10.031,1,0.0294,0.841,0,0.139,0.414,91.626,4
39,0adVktNVJXPZfhQe6B1NO5,KT Tunstall,sadsadchristmas,Lonely This Christmas,FALSE,acoustic,0,257493,0.409,0.153,6,-10.74,0,0.0306,0.939,2.56E-05,0.108,0.18,85.262,4
40,6sp6Vx3sv2l5qxPfbQkcyt,Eddie Vedder,Mega Hits Autumn/Fall 2022,The Haves,FALSE,acoustic,0,306794,0.474,0.519,7,-5.291,1,0.0253,0.281,0,0.107,0.326,151.832,4
41,1WFVfVjCtbmdIv7j3Fa9iy,Brandi Carlile,Mellow Adult Pop,When You're Wrong,FALSE,acoustic,0,266960,0.568,0.301,10,-10.163,0,0.0373,0.796,3.37E-06,0.118,0.142,88.029,4
42,0e5PAxSyZ5DWWVqKANHETz,Brandi Carlile;Lucius,Country Car Hits,You and Me on the Rock,FALSE,acoustic,0,230098,0.568,0.686,1,-6.635,1,0.033,0.15,1.81E-06,0.0881,0.725,172.075,4
43,1MLr9b1fOybO3MGiLy47Ys,Brandi Carlile;Lucius,Country Road Songs,You and Me on the Rock,FALSE,acoustic,0,230098,0.568,0.686,1,-6.635,1,0.033,0.15,1.81E-06,0.0881,0.725,172.075,4
44,6JGjevTaqr9J1xp7YvYUKF,Brandi Carlile,Finest Country,"Speak Your Mind (From the Netflix Series ""We The People"")",FALSE,acoustic,0,193943,0.476,0.666,6,-3.438,1,0.0446,0.314,0,0.342,0.498,148.155,4
45,7Af2YlwMZryKOQiRfwMsD2,Brandi Carlile;Lucius,Easy Country,You and Me on the Rock,FALSE,acoustic,0,230098,0.568,0.686,1,-6.635,1,0.033,0.15,1.81E-06,0.0881,0.725,172.075,4
46,3RE5nHIVkC4KcA7snFaTKd,Brandi Carlile;Lucius,Cozy Country,You and Me on the Rock,FALSE,acoustic,0,230098,0.568,0.686,1,-6.635,1,0.033,0.15,1.81E-06,0.0881,0.725,172.075,4
47,0JvkNRyq8Tmot9khpdtN0I,Brandi Carlile;Lucius,Good Times Country,You and Me on the Rock,FALSE,acoustic,0,230098,0.568,0.686,1,-6.635,1,0.033,0.15,1.81E-06,0.0881,0.725,172.075,4
48,27gHtbsHClwimHFtKgFop4,Brandi Carlile;Lucius,Laidback Country,You and Me on the Rock,FALSE,acoustic,0,230098,0.568,0.686,1,-6.635,1,0.033,0.15,1.81E-06,0.0881,0.725,172.075,4
49,1QBNBGeIRRGBnLhdlHbfI8,Brandi Carlile;Lucius,Chillin' It - Mellow Day Country,You and Me on the Rock,FALSE,acoustic,0,230098,0.568,0.686,1,-6.635,1,0.033,0.15,1.81E-06,0.0881,0.725,172.075,4
50,72xTsTouZ5nBmASX8k1XCW,Highland Peak,Trampoline (Acoustic),Trampoline - Acoustic,FALSE,acoustic,46,213098,0.596,0.2,0,-10.424,0,0.0305,0.91,0.000183,0.0884,0.308,107.893,4
51,3ILmwMefYZoQh5Cf5jeuUQ,Motohiro Hata,Documentary,透明だった世界,FALSE,acoustic,61,232360,0.373,0.914,0,-4.185,1,0.0565,0.076,0,0.669,0.56,168.21,4
52,2DHDuADAHoUW6n0z80RLQF,Andrew Belle,Black Bear,Pieces,FALSE,acoustic,60,241119,0.494,0.652,6,-5.863,0,0.0314,0.0754,0.00256,0.125,0.298,137.018,4
53,5JDcQAztvZTIkrWoZihgvC,Ron Pope,The Bedroom Demos,A Drop in the Ocean,FALSE,acoustic,68,220239,0.447,0.393,5,-8.65,1,0.038,0.785,0,0.28,0.564,73.139,3
54,2sYFi9xVSZ56WHKSY2fN1K,Adam Christopher,So Far Away (Acoustic),So Far Away - Acoustic,FALSE,acoustic,52,171543,0.576,0.331,6,-9.389,0,0.0306,0.894,3.44E-05,0.129,0.407,149.02,4
55,6xJOhSm4SvZwzy3uhWz26O,Andrew Belle,Black Bear,The Enemy,FALSE,acoustic,62,286865,0.536,0.89,1,-5.222,1,0.0375,0.078,0.0202,0.131,0.273,121.974,4
56,7lLKxcNeJtDTWVRKHovLEC,Aron Wright,Build It Better,Build It Better,FALSE,acoustic,51,234473,0.526,0.333,4,-13.02,1,0.0314,0.91,0.168,0.111,0.159,94.951,4
57,25UzeaV47eDT44Fovve6xQ,Chord Overstreet,Sleepwalking in the Rain,Sleepwalking in the Rain,FALSE,acoustic,0,216000,0.501,0.381,0,-9.448,1,0.036,0.687,0.00133,0.119,0.502,80.075,4
58,4oa14QBfWRDfJy2agySy0L,Sara Bareilles,Little Voice,Gravity,FALSE,acoustic,67,232760,0.27,0.275,0,-10.357,1,0.0356,0.834,0,0.146,0.231,168.964,4
59,2gRKq9rIC5i1zuxp06zJWH,Chord Overstreet,What's Left of You,What's Left of You,TRUE,acoustic,57,178600,0.731,0.507,0,-6.477,1,0.046,0.572,0,0.0912,0.265,117.969,4
60,08MFgEQeVLF37EyZ7jcwLc,Zack Tabudlo,Pano,Pano,FALSE,acoustic,75,254400,0.375,0.457,3,-7.018,1,0.0315,0.868,0.0145,0.191,0.415,174.839,3
61,6nXIYClvJAfi6ujLiKqEq8,Andrew Belle,The Daylight EP,Sky's Still Blue,FALSE,acoustic,62,244320,0.43,0.791,6,-5.419,0,0.0302,0.0726,0.0193,0.11,0.217,171.864,4
62,7x4b0UccXSKBWxWmjcrG2T,Kurt Cobain,Montage Of Heck: The Home Recordings,And I Love Her,FALSE,acoustic,66,124933,0.616,0.282,1,-15.317,1,0.0331,0.983,0.833,0.13,0.435,96.638,4
63,6owKuyHxUqidcAA6fPKSyy,Boyce Avenue;Bea Miller,"Cover Sessions, Vol. 3",We Can't Stop,FALSE,acoustic,64,222146,0.705,0.347,2,-8.249,1,0.0301,0.674,0,0.12,0.36,80.057,4
64,0wbmIfvndFV9VDvuUY1pYN,Tim Halperin,Covers,Always Be My Baby,FALSE,acoustic,62,181852,0.582,0.255,4,-10.254,1,0.0306,0.772,0,0.0889,0.285,139.884,4
65,3e5yu9MkIvQx17mm7LF6KY,Canyon City,Midnight Waves,Alone with You,FALSE,acoustic,58,186584,0.549,0.274,1,-12.565,1,0.0379,0.798,6.63E-06,0.103,0.207,86.664,4
66,6VwAh8Z1d5YKoSWoEaV4db,Aaron Espe,Making All Things New,Making All Things New,FALSE,acoustic,65,159600,0.787,0.355,0,-11.429,1,0.0288,0.896,0.0201,0.111,0.48,99.978,4
67,2D4BSm5Z8Hq5zYbSgJwEOh,Sara Bareilles,What's Inside: Songs from Waitress,She Used To Be Mine,FALSE,acoustic,67,250266,0.397,0.303,5,-7.508,1,0.0435,0.381,0,0.101,0.172,81.05,4
68,7LwGBxB0h0CVmkOZxYKn0g,Andrew Belle,In My Veins (Feat. Erin Mccarley),In My Veins - Feat. Erin Mccarley,FALSE,acoustic,65,318908,0.548,0.42,0,-7.842,1,0.0277,0.198,4.46E-06,0.0899,0.196,128.012,4
69,0ZwdH0m32I8odedwvspYTh,Tyler Ward,Under Covers,I Don't Wanna Live Forever (Fifty Shades Darker),FALSE,acoustic,44,222351,0.787,0.403,0,-11.989,1,0.033,0.603,0.00857,0.131,0.264,118.042,4
70,16dkWKIlBsfYTISCVuDs0w,Ron Pope,Whatever It Takes,A Drop In the Ocean,FALSE,acoustic,55,219480,0.484,0.573,5,-6.183,1,0.0298,0.0882,1.14E-06,0.15,0.346,139.966,3
71,3TwtrR1yNLY1PMPsrGQpOp,Five For Fighting,America Town,Superman (It's Not Easy),FALSE,acoustic,70,221693,0.382,0.416,0,-9.303,1,0.0302,0.0733,0,0.0719,0.125,102.089,4
72,3Et4LKZLnXygPYfNdeB3D3,Andrew Belle,Dive Deep,When the End Comes,FALSE,acoustic,57,354400,0.541,0.575,9,-9.463,1,0.0491,0.677,0.215,0.102,0.428,91.98,4
73,2E9viCx0hJKNKNThd2MdGQ,Bailey Jehl,You're Still The One,You're Still The One,FALSE,acoustic,56,177500,0.607,0.473,2,-8.555,1,0.034,0.712,0,0.66,0.54,119.698,4
74,0Zf1BPkkFAWGtVHeBwHHz4,Ingrid Michaelson,It Doesn't Have To Make Sense,Light Me Up,FALSE,acoustic,56,247840,0.417,0.595,6,-7.84,1,0.0396,0.158,0.000269,0.101,0.117,147.928,4
75,38jy6kRlPt8z1GUS9WXeNh,Jason Mraz,Love Is a Four Letter Word,93 Million Miles,FALSE,acoustic,67,216386,0.572,0.454,3,-10.286,1,0.0258,0.477,1.37E-05,0.0974,0.515,140.182,4
76,2SkJKMfjpYsNv0KWOxiegX,A Great Big World,When the Morning Comes,Kaleidoscope,FALSE,acoustic,62,229320,0.709,0.913,7,-5.148,1,0.0748,0.0182,0,0.167,0.519,108.024,4
77,4qCbMMMuEB56kHd4zPE6GD,Eddie Vedder;Nusrat Fateh Ali Khan,"Eat, Pray, Love",The Long Road,FALSE,acoustic,45,330933,0.537,0.342,2,-13.553,1,0.0273,0.645,0.266,0.0687,0.253,109.236,4
78,11TK5KLtLZUdKr1C549bAw,Drew Holcomb & The Neighbors,Good Light,What Would I Do Without You,FALSE,acoustic,64,172213,0.602,0.336,8,-11.106,1,0.0369,0.883,0.0017,0.143,0.335,90.894,4
79,7BXW1QCg56yzEBV8pW8pah,Jason Mraz,Know.,Have It All,FALSE,acoustic,65,226106,0.643,0.638,1,-4.947,0,0.0407,0.204,0,0.0707,0.6,82.001,4
80,2kMrCPZ0o5gErBPLCRgoli,Gabrielle Aplin,Mellow Adult Pop,Heavy Heart,FALSE,acoustic,0,235173,0.451,0.7,10,-6.597,0,0.0431,0.455,0.00233,0.405,0.37,150.055,4
81,5IjTZ1g8KrIuV97N3OQZ0V,Gabrielle Aplin,Break Up Songs,The House We Never Built,FALSE,acoustic,0,195213,0.546,0.391,2,-10.786,0,0.063,0.784,2.72E-06,0.0552,0.202,139.669,4
82,3bHhUEOTIbezeZ856R0BX5,Eddie Vedder,Into The Wild (Music For The Motion Picture),Society,FALSE,acoustic,68,236306,0.561,0.327,11,-10.835,0,0.0327,0.902,0.000469,0.111,0.298,161.858,4
83,0wf17wsLRwnnfh241GkeH5,Gabrielle Aplin,u don't deserve me,Please Don't Say You Love Me,FALSE,acoustic,0,181400,0.479,0.541,0,-9.862,1,0.0543,0.74,0,0.108,0.3,85.994,4
84,3322ArxAq7wCSZI4fF77Q0,Gabrielle Aplin,Coffee Moment,Please Don't Say You Love Me,FALSE,acoustic,0,181400,0.479,0.541,0,-9.862,1,0.0543,0.74,0,0.108,0.3,85.994,4
85,4LGF2tDg3878bs0mQPByZ4,Eddie Vedder,Into The Wild (Music For The Motion Picture),Guaranteed,FALSE,acoustic,61,164500,0.436,0.4,7,-11.485,1,0.0272,0.904,0.00105,0.125,0.351,100.734,4
86,6Uy6K3KdmUdAfelUp0SeXn,Sara Bareilles,The Blessed Unrest,Brave,FALSE,acoustic,70,220573,0.551,0.836,10,-3.838,0,0.0524,0.00502,2.10E-05,0.0425,0.758,185.063,4
87,2z2JKNU24UEngb4joR9p8f,KT Tunstall,Slow Christmas Songs 2022,Lonely This Christmas,FALSE,acoustic,0,257493,0.409,0.153,6,-10.74,0,0.0306,0.939,2.56E-05,0.108,0.18,85.262,4
88,2nef44o0sjJDKB1ta4S0ub,KT Tunstall,Lonely Christmas 2022,Lonely This Christmas,FALSE,acoustic,0,257493,0.409,0.153,6,-10.74,0,0.0306,0.939,2.56E-05,0.108,0.18,85.262,4
89,0qJGlogD7AyMLAJfQ42aI2,Five For Fighting,Bookmarks,Heaven Knows,FALSE,acoustic,62,210612,0.6,0.845,10,-7.076,1,0.0311,0.048,0,0.24,0.392,97.631,4
90,04JS6OitE9VGsIS3S94Osg,The Civil Wars,Slow Christmas Songs 2022,I Heard The Bells On Christmas Day,FALSE,acoustic,0,154440,0.492,0.145,2,-14.504,0,0.0422,0.872,9.68E-06,0.107,0.218,90.078,4
91,5OGpsZeJRZ3t3MZioawcZW,The Civil Wars,Alternative Christmas 2022,I Heard The Bells On Christmas Day,FALSE,acoustic,0,154440,0.492,0.145,2,-14.504,0,0.0422,0.872,9.68E-06,0.107,0.218,90.078,4
92,3Vnes7v746dYzBn0FJTZ1W,KT Tunstall,Alternative Christmas 2022,Fairytale Of New York,FALSE,acoustic,0,263866,0.447,0.555,2,-6.018,1,0.0349,0.218,3.46E-06,0.124,0.33,117.888,3
93,30cYWLpVdBZVLb1cYdmcTT,The Civil Wars,Acoustic Christmas Campfire,I Heard The Bells On Christmas Day,FALSE,acoustic,0,154440,0.492,0.145,2,-14.504,0,0.0422,0.872,9.68E-06,0.107,0.218,90.078,4
94,7sUqJ51FGSi3n7x4pYjY3v,The Civil Wars,Lonely Christmas 2022,I Heard The Bells On Christmas Day,FALSE,acoustic,0,154440,0.492,0.145,2,-14.504,0,0.0422,0.872,9.68E-06,0.107,0.218,90.078,4
95,15BFn2VmEtonsXfNL1lUmy,The Civil Wars,Chill Christmas Dinner,I Heard The Bells On Christmas Day,FALSE,acoustic,0,154440,0.492,0.145,2,-14.504,0,0.0422,0.872,9.68E-06,0.107,0.218,90.078,4
96,0WOFJR54wyTwLB11jcBDb1,The Civil Wars,sadsadchristmas,I Heard The Bells On Christmas Day,FALSE,acoustic,0,154440,0.492,0.145,2,-14.504,0,0.0422,0.872,9.68E-06,0.107,0.218,90.078,4
97,1uDCw6LVMOmbZ6zRliNcNX,The Civil Wars,Christmas Country Songs 2022,I Heard The Bells On Christmas Day,FALSE,acoustic,0,154440,0.492,0.145,2,-14.504,0,0.0422,0.872,9.68E-06,0.107,0.218,90.078,4
98,7DYsBLdOqz0z14tYWMt2Tn,KT Tunstall,Del gusto de mamá,Hold On,FALSE,acoustic,0,177613,0.661,0.937,4,-5.157,0,0.0979,0.322,1.04E-06,0.19,0.805,105.549,4
99,7cPuE0M35EajWPRO3nRcH8,KT Tunstall,OO's Music Grandi Successi,Suddenly I See,FALSE,acoustic,0,199040,0.603,0.78,0,-5.531,1,0.0438,0.139,0,0.164,0.693,100.499,4
100,0U32q8CZRRo7xCzyiaZw5f,Motohiro Hata,言ノ葉,Rain,FALSE,acoustic,58,293040,0.626,0.655,9,-6.69,1,0.0263,0.503,0,0.13,0.542,92.003,4
101,4kQXMVjoZ9yMibLZq5Aqi5,Callum J Wright,Somebody Else (Acoustic),Somebody Else - Acoustic,FALSE,acoustic,50,138495,0.794,0.38,10,-8.769,0,0.0477,0.762,0,0.262,0.617,114.99,4
102,3us8sod4dLbM9FiMiPiEY8,Andrew Belle,Black Bear (Hushed),Pieces (Hushed),FALSE,acoustic,59,198626,0.52,0.279,5,-10.739,0,0.0547,0.894,0.000105,0.103,0.0951,69.642,4
103,1PR5pyPiOEEQ02oJYq402x,Boyce Avenue;Fifth Harmony,"Cover Sessions, Vol. 3",Mirrors,FALSE,acoustic,57,292566,0.545,0.658,1,-7.174,1,0.0474,0.496,0,0.105,0.683,76.971,4
104,068qo0w1Ki0cjnFYOUhAm2,Boyce Avenue,Stand by Me,Stand by Me,FALSE,acoustic,60,199019,0.728,0.266,8,-7.322,1,0.0293,0.872,1.03E-05,0.114,0.307,115.189,4
105,2RFt6ZWQbr9mPhsft9u9eX,Gabrielle Aplin;JP Cooper,Dear Happy,Losing Me,FALSE,acoustic,61,181760,0.66,0.407,7,-8.381,1,0.0571,0.236,0,0.109,0.257,133.86,4
106,59pUIlXjQupbiYwt40uUTi,Mone Kamishiraishi,chouchou,なんでもないや - movie ver.,FALSE,acoustic,49,349920,0.357,0.161,8,-10.667,1,0.0388,0.971,1.40E-05,0.358,0.325,83.449,4
107,0VhZ5JYfqPojSYeGWnk4dL,John Adams,You’re Beautiful (Acoustic),You’re Beautiful - Acoustic,FALSE,acoustic,55,204973,0.479,0.154,2,-11.282,1,0.0352,0.915,0,0.0974,0.36,147.207,4
108,0ltIx8PLjtWoS9zn9PqsZW,Kitri,Hikare Inochi,Hikare Inochi,FALSE,acoustic,51,322146,0.592,0.769,2,-5.268,1,0.0311,0.319,4.66E-06,0.137,0.385,102.033,4
109,7ACW42whcdOiUxiNVu7ltx,Tyler Ward,Songs From Nashville,How To Lose a Girl,FALSE,acoustic,46,210375,0.7,0.454,7,-10.39,0,0.0388,0.55,0.0022,0.121,0.34,80.011,3
110,4qTHoIp62ngNDpUJwW3hZ7,Boyce Avenue,"Cover Sessions, Vol. 6",Can’t Help Falling in Love,FALSE,acoustic,57,131000,0.402,0.197,5,-10.775,1,0.0295,0.858,1.05E-06,0.114,0.148,100.044,3
111,4VbDTk82rqWqVgoQC93CkC,Andrew Belle,Dive Deep (Hushed),Dive Deep (Hushed),FALSE,acoustic,58,218531,0.507,0.378,9,-9.019,1,0.0332,0.852,0.000212,0.0937,0.085,135.86,4
112,1pG5nd6gmfbMwUfT5shDQe,Ben Woodward,When the Party's over (Acoustic Piano),When the Party's over (Acoustic Piano),FALSE,acoustic,51,195945,0.619,0.226,4,-13.453,1,0.0641,0.959,4.42E-05,0.106,0.188,124.96,3
113,2WZyfujzMweFLnozyUJBkW,Augustana,All The Stars and Boulevards,Boston,FALSE,acoustic,63,245933,0.404,0.571,0,-5.069,1,0.0303,0.182,2.08E-05,0.129,0.29,147.01,4
114,6gijbGNDNNJgT60Aj7UCyc,Matthew Perryman Jones,Living in the Shadows,Living in the Shadows,FALSE,acoustic,53,212386,0.418,0.79,4,-6.599,0,0.0506,0.0284,9.96E-06,0.117,0.197,175.975,4
115,5pq4v03P5PxMcnCagg4S3Z,Boyce Avenue,"Cover Sessions, Vol. 4",In Case You Didn’t Know,FALSE,acoustic,60,225165,0.633,0.299,11,-7.798,1,0.0353,0.833,0,0.109,0.341,147.549,4
116,08OjvLnGR3M0HUhcePeMNO,Andrew Foy;Renee Foy,death bed (coffee for your head),death bed (coffee for your head),FALSE,acoustic,47,112008,0.565,0.0392,1,-28.276,1,0.045,0.835,0.183,0.117,0.601,125.399,4
117,65VhbQdqvozUntjnlFkFbZ,Kina Grannis,You Are My Sunshine,You Are My Sunshine,FALSE,acoustic,60,123609,0.664,0.0755,10,-19.836,1,0.0389,0.91,0,0.164,0.575,80.004,1
118,05pKAafT85jeeNhZ6kq7HT,Jason Mraz,I Won't Give Up,I Won't Give Up,FALSE,acoustic,66,240165,0.585,0.303,4,-10.058,1,0.0398,0.694,0,0.115,0.142,136.703,3
119,3PG6V5yuFfo4APiovOQoRv,Ray LaMontagne;Sierra Ferrell,I Was Born To Love You,I Was Born To Love You,FALSE,acoustic,67,265843,0.65,0.271,9,-11.081,1,0.0314,0.794,6.90E-05,0.196,0.21,78.036,4
120,5O9R57EozcpLKGQBzadPVy,Meg Birch,Life Sucks Playlist,Only Love Can Hurt Like This,FALSE,acoustic,43,194194,0.534,0.213,1,-8.64,1,0.0283,0.884,0,0.107,0.0998,98.385,4
